issue_id,issue_name,issue_description,issue_type,issue_published_month,issue_published_year,issue_cover_variant,issue_special_issue,issue_tags,issue_front_image,issue_front_image_name,issue_front_image_persons,issue_back_image,issue_back_image_name,issue_back_image_persons,chapter_id,chapter_page,chapter_name,chapter_subtitle,chapter_description,chapter_persons
,Paintings of J. Allen St.John (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/st_john.jpg?v=1505679916,,,,,,,,,,,
,Peter Pan Volume 1,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/peterpan.jpg?v=1505679917,,,,,,,,,,,
,Peter Pan Volume 2,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/peterpanhard2.jpg?v=1505679918,,,,,,,,,,,
,Poison Apples Hard Cover,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/poisonapples_acd8f5bb-3cec-49d1-ad3f-64b83bdd7163.jpg?v=1505679925,,,,,,,,,,,
,Portfolio - Dark Sanctuary,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/darksanctuaryportfolio.jpg?v=1505679534,,,,,,,,,,,
,Ramparts: Unseeing Eyes,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/rampartscover.jpg?v=1505679936,,,,,,,,,,,
,Red Moon Book 1 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Red_Moon_1_cover.jpg?v=1505679936,,,,,,,,,,,
,Red Moon Book 2 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Red_Moon_2_cover.jpg?v=1505679936,,,,,,,,,,,
,Red Moon Book 3 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Red_Moon_3_cover.jpg?v=1505679937,,,,,,,,,,,
,Red Moon Book 4 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Red_Moon_4_cover.jpg?v=1505679937,,,,,,,,,,,
,Reload - A Collection of Heavy Metal Galleries,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/reload.jpg?v=1505679938,,,,,,,,,,,
,Requiem Collected Volume One,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/requiemcollected1.jpg?v=1505679946,,,,,,,,,,,
,Requiem Collected Volume Two,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/requiemvamp2.jpg?v=1505679946,,,,,,,,,,,
,Royo - Conceptions,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/lrconceptions.jpg?v=1505679949,,,,,,,,,,,
,Royo - Conceptions II,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/conceptions2.jpg?v=1505679950,,,,,,,,,,,
,Royo - Conceptions III,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/conceptionsIII.jpg?v=1505679950,,,,,,,,,,,
,Royo - Dead Moon:Epilogue,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/dead_epilogue.jpg?v=1505679951,,,,,,,,,,,
,Royo - Subversive Beauty,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/subversive_beauty1.jpg?v=1505679953,,,,,,,,,,,
,Royo-Prohibited: Book 3,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/prohibited3.jpg?v=1505679975,,,,,,,,,,,
,Scarlet Horn (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Sacrlet_Horn_cover.jpg?v=1505679978,,,,,,,,,,,
,School Book of Sorcerers\' Apprentice (Gothic Collection),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/school_of_sorcerers.jpg?v=1505679468,,,,,,,,,,,
,Segura - Attila,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/attila.jpg?v=1505679988,,,,,,,,,,,
